中央频道,#genre#
CCTV3,http://222.89.56.77:19901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0,1.81
CCTV3,http://60.214.104.110:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV3,http://112.99.195.122:65000/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0,1.63
CCTV3,http://60.172.130.146:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV3,http://222.173.108.238:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.52
CCTV3,http://58.19.38.162:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.3
CCTV3,http://113.218.229.47:8081/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.25
CCTV3,http://113.56.95.69:53765/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.21
CCTV3,http://110.7.130.241:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,1.01
CCTV3,http://110.7.130.241:9901udp://@225.1.2.3:32147,1.01
CCTV3,http://182.91.124.224:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0,0.88
CCTV3,http://183.186.89.111:8899/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.79
CCTV3,http://39.150.96.141:65535/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.72
CCTV3,http://39.150.96.141:65535udp://@224.1.1.3:10003,0.72
CCTV3,http://120.198.95.220:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1,0.71
CCTV3,http://122.137.77.73:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0,0.47
CCTV3,http://118.250.39.0:10888/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0,0.45
CCTV3,http://182.37.169.94:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.44
CCTV3,http://61.133.10.250:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.35
CCTV3,http://183.162.252.133:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV3,http://218.29.168.146:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.34
CCTV3,http://58.213.65.146:352/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0,0.3
